Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Female,"5'11""",72,46,D,39,34,4
Female,"6'1""",116,32,,23,36,0
Female,"5'7""",95,35,E,39,34,1
Male,"5'10""",75,43,,35,48,4
Female,"4'11""",93,44,C,30,46,1
Male,"4'8""",58,43,D,34,48,0
Female,"6'0""",82,40,,30,33,1
Female,"5'9""",51,40,D,30,36,2
Female,"5'5""",50,38,,22,35,2
Male,"5'0""",109,35,,36,43,0
Female,"6'7""",51,44,,24,48,1
Male,"5'7""",80,41,,32,49,1
Female,"4'5""",64,35,,29,40,0
Male,"4'11""",42,30,A,24,36,4
Female,"4'11""",42,45,,31,32,3
Male,"6'8""",67,49,A,27,49,4
Male,"4'10""",62,44,,31,46,3
Female,"6'8""",87,31,,35,40,1
Male,"6'1""",106,46,A,21,44,3
Female,"5'2""",81,32,B,22,36,3
Female,"4'2""",79,32,,37,44,1
Female,"4'5""",45,34,,36,46,2
Female,"6'4""",59,46,B,21,40,3
Female,"4'9""",50,46,nan,31,41,0
Female,"6'9""",66,49,,36,42,4
Female,"4'0""",60,35,,25,40,1
Female,"6'8""",52,30,,36,40,1
Female,"6'9""",74,36,B,21,38,3
Female,"6'6""",86,44,,27,40,2
Female,"4'4""",67,36,D,33,33,2
Male,"6'4""",60,48,C,25,31,4
Male,"4'7""",57,49,,28,33,4
Female,"6'0""",70,40,,20,43,2
Female,"6'8""",99,43,B,24,34,2
Female,"5'8""",76,42,,26,46,2
Female,"4'3""",60,49,,28,41,3
Female,"6'2""",53,38,A,33,35,0
Female,"4'9""",99,38,,28,41,4
Female,"4'4""",62,45,C,23,44,1
Female,"5'6""",68,41,D,39,48,2
Male,"4'2""",86,39,,34,39,2
Female,"6'1""",69,35,nan,23,31,0
Male,"5'2""",77,47,B,22,41,2
Female,"4'11""",66,31,,33,41,4
Female,"6'8""",54,49,E,28,36,2
Male,"4'1""",98,38,,38,30,0
Female,"4'3""",42,48,B,25,47,3
Male,"6'1""",49,35,C,22,32,4
Female,"4'8""",118,31,C,37,49,3
Female,"5'10""",119,44,A,35,34,1
Male,"5'7""",56,46,A,22,49,0
Female,"5'0""",50,45,A,21,44,1
Male,"4'6""",87,37,B,21,39,1
Female,"4'1""",44,39,,29,48,1
Male,"4'7""",108,39,D,34,30,1
Male,"6'3""",103,47,,22,36,0
Female,"5'2""",53,39,A,27,47,3
Female,"5'11""",89,38,C,37,31,2
Male,"4'11""",65,48,,30,48,1
Female,"5'5""",111,30,,26,39,2
Female,"4'3""",108,33,,38,44,2
Female,"4'11""",46,32,B,26,39,1
Male,"6'2""",55,39,,21,39,4
Male,"4'8""",94,41,D,25,41,2
Male,"4'5""",117,47,D,24,37,4
Male,"5'9""",95,49,,33,43,3
Male,"4'11""",43,35,D,37,31,2
Male,"6'4""",87,31,,23,46,0
Male,"5'4""",56,39,,23,35,3
Male,"5'7""",75,31,,32,37,3
Male,"5'5""",109,38,,20,30,4
Female,"4'3""",119,39,C,39,32,1
Male,"5'9""",77,31,B,24,44,0
Female,"6'8""",101,37,,22,46,0
Female,"6'5""",87,46,,38,36,4
Female,"4'11""",49,46,D,32,43,4
Male,"5'3""",75,33,A,26,32,3
Male,"4'10""",68,47,,29,47,4
Male,"4'3""",117,41,B,22,34,1
Male,"5'11""",43,46,A,21,49,3
Female,"5'5""",83,38,C,26,44,3
Male,"4'3""",95,48,C,28,35,3
Male,"6'11""",81,43,,31,32,0
Male,"6'0""",52,43,C,29,47,0
Male,"5'11""",85,46,,38,49,3
Male,"6'5""",72,31,,32,32,1
Female,"4'9""",60,37,,29,37,2
Male,"6'8""",119,34,B,24,48,3
Female,"5'4""",118,36,A,34,47,4
Male,"5'6""",96,45,,22,44,2
Female,"4'8""",108,45,E,27,43,0
Male,"4'6""",109,46,,25,45,0
Male,"5'6""",106,36,,38,32,2
Female,"4'11""",87,49,C,36,44,4
Female,"6'4""",115,37,B,29,48,0
Female,"4'6""",72,37,C,20,37,0
Male,"6'2""",75,40,,32,31,3
Female,"4'10""",72,44,,29,46,1
Male,"4'6""",70,47,A,31,41,4
Male,"4'7""",60,35,,21,48,3
Female,"4'5""",66,41,,29,40,1
Female,"6'3""",111,44,,20,47,0
Male,"6'8""",101,35,A,20,42,1
Male,"4'1""",65,47,B,39,43,0
Female,"5'11""",105,49,B,34,41,3
Female,"4'11""",51,38,,20,44,0
Female,"6'11""",61,37,B,28,37,1
Male,"5'3""",56,43,,26,31,3
Male,"5'7""",46,48,,35,37,1
Male,"4'6""",107,48,,35,34,1
Male,"4'7""",76,37,E,32,31,2
Male,"5'10""",77,31,,29,39,0
Male,"6'11""",50,33,C,37,39,0
Female,"5'8""",40,35,,28,33,1
Male,"4'10""",64,32,B,31,33,0
Male,"5'11""",81,32,C,32,37,4
Male,"6'9""",91,48,F,30,35,0
Female,"4'9""",63,40,A,34,44,3
Male,"4'9""",92,39,D,29,47,0
Male,"6'2""",95,41,C,29,37,4
Female,"6'4""",102,43,A,28,49,1
Male,"6'11""",47,47,B,22,36,0
Male,"6'10""",98,38,,35,49,3
Male,"4'0""",84,44,,31,46,4
Male,"6'3""",66,32,,36,48,2
Male,"5'7""",91,40,,34,31,1
Female,"5'11""",57,39,,22,41,1
Female,"4'8""",55,47,B,24,48,1
Female,"5'1""",105,33,C,32,34,4
Male,"5'0""",44,42,B,25,41,0
Male,"5'4""",42,35,C,28,46,0
Male,"4'10""",119,42,C,38,34,0
Female,"5'0""",109,49,,26,31,0
Male,"5'5""",46,34,,32,33,1
Male,"6'1""",89,49,B,24,35,2
Female,"6'9""",53,43,,35,38,1
Male,"4'4""",77,42,,23,39,2
Female,"5'5""",118,43,E,24,40,2
Female,"5'5""",86,37,E,39,31,0
Female,"5'1""",72,45,,38,38,3
Male,"5'9""",82,42,,25,49,4
Male,"5'2""",68,44,B,23,46,3
Male,"5'5""",96,48,,20,38,2
Male,"4'7""",44,30,F,36,37,3
Male,"4'10""",99,31,,28,34,2
Male,"4'0""",109,47,,35,34,1
Male,"6'1""",41,48,A,21,35,1
Female,"6'11""",109,37,,30,45,0
Male,"5'8""",82,32,A,24,30,4
Female,"6'11""",43,43,,32,38,1
Male,"6'9""",95,38,,39,36,4
Male,"5'8""",98,37,B,36,40,0
Male,"6'4""",48,46,,34,44,4
Female,"4'1""",42,45,C,31,34,1
Female,"6'6""",87,39,C,25,48,1
Female,"6'5""",82,39,,39,35,3
Female,"5'1""",40,35,B,32,43,3
Male,"5'5""",96,46,A,37,49,3
Female,"6'10""",92,45,A,34,43,4
Male,"4'1""",55,44,,34,40,1
Male,"4'10""",90,43,E,27,33,0
Female,"6'4""",114,33,E,38,39,2
Female,"5'1""",94,33,,33,31,1
Female,"6'7""",40,31,C,26,33,3
Female,"4'9""",67,40,C,33,49,3
Female,"5'3""",92,33,C,24,39,4
Female,"6'0""",97,45,,34,30,3
Female,"6'6""",112,33,,34,43,4
Female,"4'10""",99,30,,23,47,0
Male,"5'5""",98,48,,20,41,3
Female,"4'5""",61,31,,36,48,4
Female,"4'4""",47,38,,39,41,3
Male,"5'3""",88,42,B,20,34,4
Female,"4'11""",81,47,,35,33,1
Male,"5'10""",66,45,,32,42,4
Male,"4'7""",78,45,,37,47,2
Female,"5'11""",64,39,,29,41,0
Male,"5'6""",77,38,B,37,45,1
Male,"6'5""",63,40,C,36,35,0
Male,"4'10""",63,33,,28,36,1
Male,"4'2""",99,39,C,33,38,3
Female,"4'9""",89,32,,32,39,4
Male,"4'5""",105,35,A,39,34,3
Female,"6'10""",53,32,,39,33,0
Male,"5'2""",92,38,,33,40,0
Male,"4'8""",71,32,,30,48,1
Male,"4'6""",87,47,,32,36,0
Male,"4'2""",78,37,F,36,42,4
Female,"4'2""",79,37,,22,42,0
Female,"6'0""",81,44,D,20,47,3
Male,"6'10""",116,42,B,24,38,4
Male,"5'0""",115,36,C,32,42,0
Female,"5'3""",47,48,,24,42,2
Male,"4'3""",118,37,E,24,34,2
Male,"4'10""",65,39,A,31,41,3
Male,"5'3""",51,46,C,21,30,1
Female,"4'1""",82,30,,35,47,1
Female,"4'9""",90,42,B,36,46,0
Female,"5'3""",102,42,,24,39,4
Male,"6'9""",88,45,B,31,38,1
Male,"6'10""",66,38,D,34,49,2
Female,"4'8""",48,39,,25,37,1
Female,"4'9""",78,35,,32,44,2
Female,"4'0""",104,34,B,30,42,1
Female,"5'1""",110,31,,36,46,3
Male,"4'8""",110,40,A,28,38,4
Female,"4'3""",46,38,A,35,40,0
Male,"4'10""",111,35,,36,33,2
Female,"6'4""",119,37,,39,36,1
Male,"6'11""",106,38,,37,49,0
Female,"5'2""",49,38,A,32,32,2
Female,"6'11""",110,37,B,30,39,2
Female,"6'6""",92,41,D,32,32,3
Female,"6'9""",96,37,,32,30,1
Male,"4'4""",66,32,,31,43,0
Female,"5'3""",93,42,,33,42,1
Male,"6'9""",43,48,B,32,34,1
Male,"6'1""",62,31,,28,37,4
Male,"4'7""",87,46,,33,41,2
Male,"4'2""",81,45,C,20,35,2
Female,"6'11""",42,33,,28,31,4
Male,"5'8""",42,47,,23,33,4
Male,"6'3""",67,43,C,31,34,1
Male,"5'2""",102,31,B,33,40,2
Female,"4'0""",70,42,C,28,42,0
Female,"6'7""",49,49,C,22,37,3
Female,"6'7""",88,46,B,25,34,4
Female,"6'3""",60,44,B,22,35,0
Male,"5'7""",92,49,,20,44,0
Male,"5'3""",115,34,,22,45,1
Female,"6'1""",93,36,C,33,40,4
Male,"4'0""",96,47,F,39,36,0
Male,"6'4""",59,40,,21,35,3
Male,"6'4""",88,47,B,31,41,0
Female,"6'4""",46,34,B,29,33,3
Female,"5'8""",68,42,,32,43,3
Male,"4'8""",87,47,,39,40,3
Female,"5'5""",52,31,B,23,41,4
Female,"4'8""",42,49,A,38,31,3
Female,"5'7""",41,33,,20,40,4
Female,"6'6""",55,42,C,30,42,0
Female,"5'4""",45,45,,35,40,3
Male,"4'3""",84,35,,38,38,2
Female,"6'2""",110,37,B,38,45,0
Male,"5'3""",44,45,,31,34,2
Male,"5'2""",95,42,,22,41,2
Female,"6'3""",110,33,,37,32,1
Male,"6'8""",71,31,A,36,45,4
Male,"4'6""",88,38,B,24,48,1
Male,"5'1""",52,47,A,35,46,4
Female,"5'4""",69,46,,33,40,1
Female,"4'10""",64,37,,38,48,0
Male,"6'8""",99,44,B,25,47,2
Female,"5'10""",98,38,,22,38,0
Female,"6'5""",67,46,,25,42,4
Female,"6'7""",97,31,A,31,35,2
Female,"5'4""",59,35,,39,32,2
Male,"5'4""",73,34,,30,41,4
Male,"4'10""",44,46,,26,38,0
Female,"6'9""",99,31,,20,38,2
Female,"5'10""",82,47,,35,44,0
Male,"5'8""",96,39,,35,30,0
Male,"4'10""",96,39,A,36,47,0
Female,"5'5""",114,35,D,34,44,2
Male,"4'0""",93,41,,28,37,3
Female,"6'8""",84,46,E,24,40,1
Female,"6'4""",76,42,B,39,46,4
Male,"4'5""",87,49,C,27,43,0
Male,"4'0""",93,45,,20,48,2
Female,"6'8""",87,39,B,26,34,4
Female,"6'3""",45,31,,30,31,3
Male,"4'8""",73,31,B,39,44,3
Female,"6'7""",102,36,B,32,48,2
Male,"5'7""",117,35,,32,45,0
Female,"6'6""",87,30,B,26,42,3
Male,"6'5""",62,41,,30,36,3
Male,"4'6""",52,42,D,37,46,3
Male,"5'6""",86,41,A,20,48,2
Female,"4'8""",83,48,A,31,36,4
Female,"4'1""",71,38,D,22,41,1
Male,"6'8""",65,39,,20,42,2
Female,"4'8""",92,46,,23,42,0
Male,"4'5""",53,47,C,25,43,2
Male,"5'3""",91,37,,24,44,2
Female,"4'2""",75,36,B,30,31,1
Female,"4'0""",47,38,,39,35,1
Male,"6'6""",79,39,,32,38,1
Female,"4'0""",61,41,,30,44,4
Female,"6'9""",55,44,B,25,49,2
Male,"6'3""",99,44,,38,45,0
Male,"5'0""",99,33,,34,31,1
Female,"6'10""",49,33,B,32,32,1
Male,"6'7""",64,30,B,29,49,2
Male,"5'9""",70,41,B,20,37,0
Female,"4'1""",60,31,,32,37,1
Male,"4'6""",72,44,,25,36,2
Male,"6'2""",70,46,,39,40,3
Female,"5'8""",60,36,,31,42,4
Female,"4'0""",75,35,,36,37,2
Male,"6'4""",104,41,,37,38,1
Male,"4'4""",43,48,B,27,45,0
Female,"6'5""",107,30,,33,34,3
Female,"4'2""",43,43,,24,43,0
Female,"6'11""",48,33,,21,30,0
Female,"6'10""",69,34,C,30,48,0
Male,"5'8""",84,30,,22,46,2
Female,"6'3""",43,30,C,35,43,2
Female,"6'1""",108,35,,35,42,4
Male,"5'2""",62,34,D,28,37,3
Female,"4'4""",55,31,B,32,32,0
Male,"6'7""",61,34,B,29,30,1
Female,"6'2""",111,38,,36,48,0
Female,"5'6""",87,48,B,36,44,3
Female,"6'2""",101,44,,29,37,0
Male,"5'3""",99,42,C,27,38,2
Male,"4'0""",119,41,,26,42,2
Female,"5'4""",44,34,B,33,41,3
Male,"6'4""",119,31,E,37,38,4
Male,"6'11""",46,33,,38,49,0
Male,"4'5""",90,47,C,37,40,3
Male,"4'4""",104,39,,33,34,1
Male,"4'11""",48,42,E,29,48,1
Male,"5'4""",84,41,D,20,47,4
Female,"5'7""",86,31,,28,40,2
Female,"6'0""",106,44,,37,40,3
Male,"5'1""",63,43,,32,35,0
Female,"4'2""",49,39,F,36,30,3
Female,"5'4""",112,37,,35,38,4
Female,"6'1""",116,44,,30,36,3
Female,"5'6""",87,42,C,28,35,4
Male,"4'3""",74,37,,26,39,4
Female,"5'6""",93,43,,20,34,4
Female,"6'6""",110,30,F,28,30,3
Male,"5'6""",55,42,A,29,44,1
Male,"6'5""",92,37,A,35,34,0
Female,"4'7""",79,47,C,37,49,4
Female,"4'7""",59,38,F,33,35,2
Female,"5'9""",108,42,,30,34,4
Female,"4'8""",84,32,B,23,46,3
Female,"5'9""",45,47,B,38,47,4
Female,"4'1""",108,39,C,32,33,2
Male,"5'9""",88,34,,20,31,1
Female,"4'11""",78,35,,38,37,3
Female,"5'8""",41,37,,34,34,3
Male,"4'1""",78,36,,39,33,3
Male,"5'3""",60,47,C,34,43,2
Male,"4'0""",79,43,B,30,33,3
Male,"6'0""",93,44,D,24,37,1
Female,"6'10""",51,39,,29,32,0
Female,"6'9""",76,41,F,37,43,0
Female,"5'8""",77,36,,26,47,4
Female,"6'1""",54,36,,20,41,0
Female,"5'5""",46,40,,22,44,2
Female,"5'9""",117,42,E,20,49,0
Male,"6'6""",89,44,B,36,49,2
Female,"6'10""",104,47,B,34,38,2
Male,"4'5""",106,36,B,24,31,4
Male,"6'8""",83,35,,35,30,0
Female,"5'3""",70,40,B,31,44,4
Male,"6'3""",82,37,,38,44,3
Female,"6'1""",116,49,,33,37,1
Male,"5'4""",87,30,,22,32,0
Female,"5'5""",100,37,,38,31,3
Male,"6'5""",114,37,,20,33,3
Female,"6'10""",49,48,,20,47,4
Female,"5'8""",68,32,,29,41,4
Female,"4'5""",87,34,A,22,47,1
Female,"4'10""",101,32,D,32,39,1
Female,"6'11""",52,44,,25,37,1
Male,"5'3""",83,43,B,30,47,1
Male,"4'2""",86,44,E,25,46,4
Male,"5'8""",103,46,E,22,48,2
Female,"5'4""",92,47,A,35,35,4
Male,"6'10""",116,31,,28,43,2
Female,"5'2""",115,41,F,27,34,4
Female,"4'10""",83,45,,22,37,4
Male,"5'3""",67,33,,24,37,1
Male,"5'8""",41,31,D,33,47,2
Female,"4'11""",96,43,C,24,38,3
Male,"4'0""",96,40,,38,43,3
Female,"4'3""",73,42,,24,43,3
Female,"6'0""",97,36,B,39,49,1
Female,"4'3""",91,39,C,39,43,3
Female,"6'0""",68,30,,21,46,4
Female,"5'3""",74,33,B,26,31,1
Male,"4'9""",114,47,,20,43,3
Male,"5'5""",87,35,,37,41,1
Female,"4'9""",72,31,,29,45,4
Female,"5'10""",114,32,,25,35,1
Male,"5'1""",112,43,C,26,47,3
Male,"6'3""",117,37,,31,36,1
Female,"6'4""",48,45,,37,31,0
Male,"6'8""",87,48,A,30,42,3
Female,"6'3""",106,47,C,38,37,4
Male,"4'10""",75,35,,23,41,2
Female,"4'10""",110,43,B,38,30,1
Male,"5'2""",83,32,A,32,38,1
Female,"4'10""",99,45,,38,37,3
Male,"4'8""",102,30,C,21,38,3
Male,"5'1""",44,41,C,28,34,0
Female,"4'7""",115,43,B,27,42,4
Male,"6'0""",79,48,A,33,43,1
Female,"4'6""",58,48,E,28,33,1
Male,"6'3""",86,38,,32,46,2
Female,"6'0""",104,36,C,37,38,1
Male,"4'4""",106,43,,25,49,1
Female,"6'1""",57,34,,22,44,0
Male,"6'1""",89,47,A,29,49,2
Female,"6'9""",69,38,C,29,33,1
Male,"4'10""",105,36,B,29,31,1
Female,"5'6""",44,38,A,28,42,4
Female,"5'1""",81,33,C,31,33,1
Female,"5'2""",44,46,D,27,47,0
Male,"6'7""",89,41,D,28,45,1
Female,"5'2""",97,35,B,36,39,1
Male,"5'5""",118,47,E,27,31,3
Female,"4'6""",47,37,B,37,43,1
Male,"6'7""",70,44,E,39,31,2
Female,"6'9""",51,32,A,36,47,3
Male,"4'8""",60,31,,25,30,2
Male,"4'5""",101,38,B,29,42,2
Female,"6'8""",72,37,,20,35,0
Male,"6'0""",65,33,,20,46,1
Male,"4'5""",79,31,C,28,46,2
Female,"4'8""",104,43,,39,40,1
Male,"5'7""",98,31,B,22,35,1
Male,"6'4""",54,31,D,25,49,0
Male,"5'9""",40,36,,26,32,0
Female,"6'10""",50,41,C,28,43,2
Male,"5'9""",94,35,,24,35,2
Female,"5'11""",41,47,,35,46,3
Male,"6'4""",104,33,A,21,32,1
Male,"6'11""",83,48,,22,46,1
Male,"5'1""",55,42,,22,48,0
Female,"6'5""",61,49,C,39,47,0
Male,"6'9""",57,31,,29,34,2
Male,"4'3""",86,37,B,22,44,3
Female,"5'6""",69,48,A,34,32,3
Male,"4'10""",49,38,nan,33,37,0
Female,"5'7""",97,33,E,23,36,0
Female,"6'0""",101,45,,29,47,3
Male,"6'2""",119,48,B,30,39,3
Female,"5'5""",45,39,,30,39,2
Male,"5'8""",106,35,,27,48,3
Female,"4'5""",80,45,C,28,30,1
Female,"5'4""",82,39,B,27,31,3
Male,"4'4""",116,42,D,31,30,4
Female,"4'9""",57,38,,36,38,3
Female,"4'1""",97,36,E,34,44,0
Female,"6'2""",99,33,,38,47,0
Female,"4'3""",66,48,B,39,47,4
Female,"6'2""",107,33,D,25,36,1
Male,"4'0""",61,48,,24,43,3
Female,"6'7""",63,48,,27,47,3
Male,"5'6""",79,41,B,37,49,4
Female,"4'4""",113,42,B,34,48,2
Male,"4'9""",105,33,E,22,34,2
Male,"4'6""",79,39,,33,38,1
Female,"5'6""",45,36,C,34,47,3
Female,"4'3""",57,34,B,32,42,3
Female,"5'9""",69,46,,39,34,3
Male,"4'9""",60,47,C,28,49,0
Female,"5'6""",101,40,,36,44,2
Male,"4'0""",49,44,,38,48,4
Male,"4'8""",52,36,B,23,49,0
Male,"5'2""",115,47,B,39,40,0
Female,"4'2""",48,35,,29,38,2
Female,"6'5""",107,47,,22,45,3
Male,"4'5""",78,45,E,38,40,1
Male,"4'9""",63,31,,28,31,4
Female,"6'0""",73,48,,24,37,2
Male,"6'2""",100,30,C,33,34,1
Female,"5'8""",80,40,,26,40,2
Male,"6'5""",44,49,,25,40,2
Female,"4'4""",118,34,,27,38,2
Male,"6'3""",89,45,,21,40,2
Female,"6'6""",43,30,,33,34,3
Male,"4'0""",90,48,,26,38,0
Female,"6'7""",91,43,D,22,30,2
Female,"4'1""",78,32,B,39,39,1
Male,"4'5""",47,31,C,25,37,1
Male,"5'5""",84,34,F,33,48,1
Female,"5'0""",67,46,,31,45,0
Male,"5'0""",66,47,B,37,42,0
Female,"5'10""",104,30,,31,34,1
Male,"5'2""",73,44,A,26,47,3
Female,"5'9""",101,38,,24,38,0
Female,"5'11""",101,34,C,31,33,0
Female,"6'3""",77,42,,28,43,3
Female,"5'8""",65,48,B,30,36,2
Female,"5'11""",63,39,A,23,41,0
Female,"6'6""",78,49,E,33,36,1
Male,"6'5""",60,43,nan,31,40,1
Male,"6'2""",86,41,C,37,44,3
Male,"5'11""",87,40,,26,36,1
Female,"6'8""",52,36,D,20,49,4
Female,"6'0""",42,46,,32,46,1
Female,"5'0""",71,47,E,35,34,3
Female,"6'2""",74,36,D,24,37,3
Male,"5'7""",58,49,A,38,39,3
Male,"6'9""",53,35,,28,35,4
Female,"4'1""",87,40,A,28,31,0
Male,"5'2""",107,41,A,31,34,2
Male,"4'5""",84,45,,37,39,1
Female,"4'1""",58,48,,29,32,0
Male,"4'0""",103,48,,36,42,3
Female,"4'6""",105,40,,38,45,0
Male,"5'0""",118,45,A,30,44,0
Female,"6'4""",105,41,,35,31,4
Female,"5'0""",114,37,,27,32,3
Female,"6'6""",84,32,B,34,49,3
Female,"5'0""",113,31,,30,47,1
Male,"6'4""",106,35,,26,49,1
Female,"4'0""",108,45,,21,49,1
Female,"5'0""",42,49,B,38,44,1
Female,"6'8""",77,44,,28,34,0
Male,"6'2""",116,43,,37,40,0
Female,"6'4""",81,31,,32,32,1
Male,"6'9""",79,49,B,20,38,1
Female,"4'5""",89,47,A,38,36,1
Male,"4'7""",74,43,,32,31,2
Male,"4'8""",63,47,C,33,44,1
Female,"5'8""",56,31,,36,41,2
Male,"6'11""",79,30,B,39,45,1
Female,"6'5""",113,49,D,20,45,3
Female,"4'6""",105,31,,24,45,4
Female,"5'2""",83,38,,39,48,0
Male,"6'1""",62,38,,33,32,3
Male,"4'2""",45,45,A,37,49,4
Female,"6'4""",105,40,,32,33,2
Female,"5'8""",60,35,D,31,30,0
Male,"5'2""",74,41,F,34,37,2
Female,"5'7""",68,32,,23,44,2
Female,"5'5""",46,41,D,28,34,0
Female,"6'8""",92,30,D,22,49,4
Male,"6'11""",76,38,,30,41,0
Male,"4'0""",62,49,E,34,49,1
Male,"4'1""",47,35,B,35,49,2
Female,"5'5""",115,40,,26,33,1
Female,"6'3""",87,32,,26,44,0
Female,"4'10""",49,33,,28,35,0
Male,"5'2""",118,39,nan,36,34,4
Female,"6'2""",63,48,D,32,40,2
Female,"5'7""",86,35,D,28,43,3
Female,"6'6""",92,30,,28,40,0
Female,"5'3""",78,37,B,39,38,3
Male,"6'11""",106,37,C,31,39,2
Male,"6'9""",105,35,C,38,35,1
Female,"6'10""",45,46,,34,40,2
Male,"6'10""",60,48,,37,38,4
Male,"5'0""",112,30,,27,34,3
Female,"4'11""",113,44,C,25,39,3
Female,"6'11""",75,42,D,25,49,1
Male,"5'7""",42,32,,22,43,1
Female,"6'8""",117,31,,22,35,0
Male,"4'9""",81,32,A,21,33,2
Female,"5'4""",84,38,,24,39,4
Male,"4'6""",83,45,B,39,40,0
Female,"5'3""",72,42,,31,45,2
Male,"4'2""",99,48,,25,36,1
Male,"4'2""",109,47,,35,47,4
Male,"4'10""",116,41,B,24,36,1
Female,"6'11""",65,41,,25,44,1
Male,"4'11""",60,30,B,23,48,3
Male,"5'9""",41,49,,33,47,2
Female,"4'6""",86,37,,22,44,0
Female,"6'2""",69,46,A,36,47,3
Male,"4'9""",66,49,A,24,32,2
Male,"5'4""",110,36,,25,30,2
Female,"4'5""",59,38,B,39,30,2
Female,"5'9""",89,46,,23,36,4
Female,"5'10""",62,39,B,32,39,3
Female,"5'7""",52,33,A,27,41,0
Female,"6'8""",43,36,,30,37,3
Male,"4'10""",53,36,,38,46,1
Female,"5'11""",59,37,E,24,43,2
Male,"5'11""",52,37,D,24,46,1
Male,"6'0""",42,45,,22,35,3
Male,"5'1""",117,41,D,21,49,0
Female,"5'11""",86,44,A,22,46,1
Male,"6'9""",42,37,C,34,49,1
Male,"6'1""",40,38,C,26,37,4
Female,"5'0""",63,32,,22,42,3
Male,"5'5""",74,45,,34,45,1
Male,"4'2""",53,44,F,30,41,3
Female,"5'2""",106,33,D,35,46,0
Male,"5'0""",52,49,,32,47,1
Male,"5'11""",86,45,C,21,37,0
Male,"4'9""",89,39,E,39,47,1
Female,"5'10""",117,40,A,31,40,2
Female,"6'5""",65,34,A,26,42,4
Female,"5'6""",42,40,C,20,41,4
Male,"4'3""",90,42,,33,44,4
Male,"6'6""",79,44,A,29,32,0
Female,"5'7""",107,35,A,22,32,3
Male,"5'4""",75,45,D,30,35,4
Male,"4'11""",90,44,,39,32,1
Female,"4'4""",40,40,B,34,38,1
Female,"6'5""",72,49,C,25,40,2
Male,"5'4""",46,31,,37,37,0
Male,"6'4""",91,31,,32,33,1
Male,"5'1""",50,41,,34,49,1
Female,"5'8""",66,45,,22,44,2
Female,"5'10""",53,48,E,34,34,2
Female,"6'6""",119,31,B,20,36,3
Female,"4'5""",85,46,B,29,37,3
Male,"5'1""",115,43,,37,36,3
Female,"6'0""",49,45,A,27,37,1
Female,"5'5""",63,34,,31,33,2
